30,mean O9,mean + std O9,mean - std O9
indy_20160407_02,2.750,3.440,2.060
indy_20160411_01,2.875,3.363,2.387
indy_20160411_02,3.250,3.738,2.762
indy_20160418_01,2.875,3.363,2.387
indy_20160419_01,2.500,3.190,1.810
indy_20160420_01,7.875,17.113,-1.363
indy_20160426_01,2.750,3.440,2.060
indy_20160622_01,3.375,3.753,2.997
indy_20160624_03,3.625,4.003,3.247
indy_20160627_01,4.125,4.613,3.637
indy_20160630_01,2.375,2.863,1.887
indy_20160915_01,3.000,3.535,2.465
indy_20160916_01,3.375,4.065,2.685
indy_20160921_01,3.000,3.535,2.465
indy_20160927_04,3.000,3.535,2.465
indy_20160927_06,3.500,4.914,2.086
indy_20160930_02,3.125,3.660,2.590
indy_20160930_05,3.250,4.006,2.494
indy_20161005_06,3.125,3.912,2.338
indy_20161006_02,2.750,3.650,1.850
indy_20161007_02,3.250,4.201,2.299
indy_20161011_03,3.625,4.315,2.935
indy_20161013_03,3.375,3.753,2.997
indy_20161014_04,3.500,3.500,3.500
indy_20161017_02,2.875,3.363,2.387
indy_20161024_03,3.625,4.525,2.725
indy_20161025_04,3.500,4.077,2.923
indy_20161026_03,3.500,4.077,2.923
indy_20161027_03,3.250,4.006,2.494
indy_20161206_02,3.000,3.535,2.465
indy_20161207_02,3.375,4.065,2.685
indy_20161212_02,3.250,4.006,2.494
indy_20161220_02,3.250,4.006,2.494
indy_20170123_02,3.125,3.660,2.590
indy_20170124_01,3.625,4.003,3.247
indy_20170127_03,3.375,3.753,2.997
indy_20170131_02,3.625,4.315,2.935
